rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,BS,재무상태표,유동자산,제 14 기,2019.12.31 현재,"111,419,272,490",제 13 기,2018.12.31 현재,"93,378,850,696",제 12 기,2017.12.31 현재,"45,209,086,607",1
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,BS,재무상태표,비유동자산,제 14 기,2019.12.31 현재,"30,058,180,591",제 13 기,2018.12.31 현재,"28,307,433,051",제 12 기,2017.12.31 현재,"37,029,355,773",3
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,BS,재무상태표,자산총계,제 14 기,2019.12.31 현재,"141,477,453,081",제 13 기,2018.12.31 현재,"121,686,283,747",제 12 기,2017.12.31 현재,"82,238,442,380",5
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,BS,재무상태표,유동부채,제 14 기,2019.12.31 현재,"15,423,972,628",제 13 기,2018.12.31 현재,"9,945,687,495",제 12 기,2017.12.31 현재,"17,640,061,284",7
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,BS,재무상태표,비유동부채,제 14 기,2019.12.31 현재,"10,144,134,739",제 13 기,2018.12.31 현재,"6,445,867,208",제 12 기,2017.12.31 현재,"15,133,385,402",9
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,BS,재무상태표,부채총계,제 14 기,2019.12.31 현재,"25,568,107,367",제 13 기,2018.12.31 현재,"16,391,554,703",제 12 기,2017.12.31 현재,"32,773,446,686",11
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,BS,재무상태표,자본금,제 14 기,2019.12.31 현재,"6,004,004,500",제 13 기,2018.12.31 현재,"5,999,164,500",제 12 기,2017.12.31 현재,"4,977,293,500",13
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 14 기,2019.12.31 현재,"-78,811,545,647",제 13 기,2018.12.31 현재,"-90,294,405,224",제 12 기,2017.12.31 현재,"-64,288,926,292",17
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,BS,재무상태표,자본총계,제 14 기,2019.12.31 현재,"115,909,345,714",제 13 기,2018.12.31 현재,"105,294,729,044",제 12 기,2017.12.31 현재,"49,464,995,694",21
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,IS,손익계산서,매출액,제 14 기,2019.01.01 ~ 2019.12.31,"57,500,138,690",제 13 기,2018.01.01 ~ 2018.12.31,"25,240,301,764",제 12 기,2017.01.01 ~ 2017.12.31,"22,056,557,550",23
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,IS,손익계산서,영업이익,제 14 기,2019.01.01 ~ 2019.12.31,"8,416,841,998",제 13 기,2018.01.01 ~ 2018.12.31,"-15,977,963,887",제 12 기,2017.01.01 ~ 2017.12.31,"-9,842,081,174",25
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2019.01.01 ~ 2019.12.31,"13,101,518,704",제 13 기,2018.01.01 ~ 2018.12.31,"-26,426,772,928",제 12 기,2017.01.01 ~ 2017.12.31,"-13,497,962,841",27
20200330003296,11011,2019,00842619,141080,CFS,연결재무제표,IS,손익계산서,당기순이익,제 14 기,2019.01.01 ~ 2019.12.31,"12,475,507,793",제 13 기,2018.01.01 ~ 2018.12.31,"-26,072,682,686",제 12 기,2017.01.01 ~ 2017.12.31,"-12,933,665,235",29
20200330003296,11011,2019,00842619,141080,OFS,재무제표,BS,재무상태표,유동자산,제 14 기,2019.12.31 현재,"109,835,978,855",제 13 기,2018.12.31 현재,"89,365,266,844",제 12 기,2017.12.31 현재,"43,741,684,490",2
20200330003296,11011,2019,00842619,141080,OFS,재무제표,BS,재무상태표,비유동자산,제 14 기,2019.12.31 현재,"34,361,455,930",제 13 기,2018.12.31 현재,"32,337,455,887",제 12 기,2017.12.31 현재,"41,356,465,329",4
20200330003296,11011,2019,00842619,141080,OFS,재무제표,BS,재무상태표,자산총계,제 14 기,2019.12.31 현재,"144,197,434,785",제 13 기,2018.12.31 현재,"121,702,722,731",제 12 기,2017.12.31 현재,"85,098,149,819",6
20200330003296,11011,2019,00842619,141080,OFS,재무제표,BS,재무상태표,유동부채,제 14 기,2019.12.31 현재,"14,421,681,994",제 13 기,2018.12.31 현재,"9,805,473,994",제 12 기,2017.12.31 현재,"16,981,713,102",8
20200330003296,11011,2019,00842619,141080,OFS,재무제표,BS,재무상태표,비유동부채,제 14 기,2019.12.31 현재,"9,896,428,271",제 13 기,2018.12.31 현재,"6,236,552,412",제 12 기,2017.12.31 현재,"15,013,291,069",10
20200330003296,11011,2019,00842619,141080,OFS,재무제표,BS,재무상태표,부채총계,제 14 기,2019.12.31 현재,"24,318,110,265",제 13 기,2018.12.31 현재,"16,042,026,406",제 12 기,2017.12.31 현재,"31,995,004,171",12
20200330003296,11011,2019,00842619,141080,OFS,재무제표,BS,재무상태표,자본금,제 14 기,2019.12.31 현재,"6,004,004,500",제 13 기,2018.12.31 현재,"5,999,164,500",제 12 기,2017.12.31 현재,"4,977,293,500",15
20200330003296,11011,2019,00842619,141080,OFS,재무제표,BS,재무상태표,이익잉여금,제 14 기,2019.12.31 현재,"-70,139,417,108",제 13 기,2018.12.31 현재,"-84,111,492,708",제 12 기,2017.12.31 현재,"-59,004,859,038",19
