rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,BS,재무상태표,유동자산,제 21 기,2021.03.31 현재,"29,924,037,509",제 20 기,2020.03.31 현재,"32,808,366,812",제 19 기,2019.03.31 현재,"42,439,589,025",1
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,BS,재무상태표,비유동자산,제 21 기,2021.03.31 현재,"22,962,464,586",제 20 기,2020.03.31 현재,"25,602,546,433",제 19 기,2019.03.31 현재,"15,389,657,348",3
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,BS,재무상태표,자산총계,제 21 기,2021.03.31 현재,"52,886,502,095",제 20 기,2020.03.31 현재,"58,410,913,245",제 19 기,2019.03.31 현재,"57,829,246,373",5
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,BS,재무상태표,유동부채,제 21 기,2021.03.31 현재,"11,828,704,983",제 20 기,2020.03.31 현재,"9,904,657,472",제 19 기,2019.03.31 현재,"6,290,709,946",7
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,BS,재무상태표,비유동부채,제 21 기,2021.03.31 현재,"7,176,918,640",제 20 기,2020.03.31 현재,"6,997,566,553",제 19 기,2019.03.31 현재,"5,400,028,694",9
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,BS,재무상태표,부채총계,제 21 기,2021.03.31 현재,"19,005,623,623",제 20 기,2020.03.31 현재,"16,902,224,025",제 19 기,2019.03.31 현재,"11,690,738,640",11
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,BS,재무상태표,자본금,제 21 기,2021.03.31 현재,"3,193,000,000",제 20 기,2020.03.31 현재,"3,193,000,000",제 19 기,2019.03.31 현재,"3,193,000,000",13
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 21 기,2021.03.31 현재,"20,331,624,169",제 20 기,2020.03.31 현재,"28,787,513,691",제 19 기,2019.03.31 현재,"30,327,578,023",17
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,BS,재무상태표,자본총계,제 21 기,2021.03.31 현재,"33,880,878,472",제 20 기,2020.03.31 현재,"41,508,689,220",제 19 기,2019.03.31 현재,"46,138,507,733",21
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,IS,손익계산서,매출액,제 21 기,2020.04.01 ~ 2021.03.31,"76,903,899,718",제 20 기,2019.04.01 ~ 2020.03.31,"64,673,274,232",제 19 기,2018.04.01 ~ 2019.03.31,"54,784,605,179",23
20210615000295,11011,2021,00490090,099750,CFS,연결재무제표,IS,손익계산서,영업이익,제 21 기,2020.04.01 ~ 2021.03.31,"-3,965,510,047",제 20 기,2019.04.01 ~ 2020.03.31,"-2,128,854,242",제 19 기,2018.04.01 ~ 2019.03.31,"3,660,817,248",25
