rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,ord,thstrm_add_amount,frmtrm_add_amount
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,BS,재무상태표,유동자산,제 13 기3분기말,2021.03.31 현재,"281,405,773",제 12 기말,2020.06.30 현재,"1,358,861,626",1,,
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,BS,재무상태표,비유동자산,제 13 기3분기말,2021.03.31 현재,"1,871,348,332",제 12 기말,2020.06.30 현재,"773,203,610",3,,
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,BS,재무상태표,자산총계,제 13 기3분기말,2021.03.31 현재,"2,152,754,105",제 12 기말,2020.06.30 현재,"2,132,065,236",5,,
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,BS,재무상태표,유동부채,제 13 기3분기말,2021.03.31 현재,"74,854,984",제 12 기말,2020.06.30 현재,"49,719,012",7,,
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,BS,재무상태표,비유동부채,제 13 기3분기말,2021.03.31 현재,"3,905,880",제 12 기말,2020.06.30 현재,0,9,,
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,BS,재무상태표,부채총계,제 13 기3분기말,2021.03.31 현재,"78,760,864",제 12 기말,2020.06.30 현재,"49,719,012",11,,
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,BS,재무상태표,자본금,제 13 기3분기말,2021.03.31 현재,"37,867,093",제 12 기말,2020.06.30 현재,"37,867,093",13,,
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 13 기3분기말,2021.03.31 현재,"1,138,713,332",제 12 기말,2020.06.30 현재,"1,148,332,227",17,,
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,BS,재무상태표,자본총계,제 13 기3분기말,2021.03.31 현재,"2,073,993,241",제 12 기말,2020.06.30 현재,"2,082,346,224",21,,
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,IS,손익계산서,매출액,제 13 기3분기,2020.07.01 ~ 2021.03.31,"146,675,952",제 12 기3분기,2019.07.01 ~ 2020.03.31,"52,219,379",23,"417,732,745","317,515,831"
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,IS,손익계산서,영업이익,제 13 기3분기,2020.07.01 ~ 2021.03.31,"-5,398,910",제 12 기3분기,2019.07.01 ~ 2020.03.31,"-91,365,664",25,"-12,503,199","-271,339,499"
20210531001507,11014,2021,00800084,900120,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 13 기3분기,2020.07.01 ~ 2021.03.31,"-5,177,865",제 12 기3분기,2019.07.01 ~ 2020.03.31,"-90,297,852",27,"-9,687,119","-262,431,918"
